time,data
41782,-467313
,
41866,-469071
,
41950,-469810
,
42034,-470258
,
42118,-470499
,
42203,-470611
,
42287,-470632
,
42371,-470598
,
42455,-470454
,
42539,-470246
,
42624,-470117
,
42708,-470129
,
42792,-470218
,
42876,-470335
,
42960,-470653
,
43045,-470901
,
43129,-470891
,
43213,-470955
,
43297,-471141
,
43381,-471069
,
43466,-470891
,
43550,-470952
,
43634,-471050
,
43718,-471082
,
43802,-470944
,
43887,-470769
,
43971,-470853
,
44055,-470886
,
44139,-470882
,
44223,-470954
,
44308,-470998
,
44392,-470963
,
44476,-471025
,
44560,-471143
,
44644,-471184
,
44729,-471142
,
44813,-471136
,
44897,-471270
,
44981,-471335
,
45065,-471280
,
45150,-471186
,
45234,-471299
,
45318,-471499
,
45402,-471575
,
45486,-471598
,
45570,-471605
,
45655,-471684
,
45739,-471760
,
45823,-471793
,
45907,-471852
,
45991,-471867
,
46076,-471867
,
46160,-471880
,
46244,-471910
,
46328,-471902
,
46412,-471846
,
46497,-471819
,
46581,-471853
,
46665,-471836
,
46749,-471810
,
46833,-471837
,
46918,-471842
,
47002,-471892
,
47086,-471924
,
47170,-471916
,
47254,-471933
,
47339,-471922
,
47423,-471918
,
47507,-471889
,
47591,-471901
,
47675,-471929
,
47760,-471920
,
47844,-471922
,
47928,-471980
,
48012,-471994
,
48096,-471979
,
48181,-472045
,
48265,-472066
,
48349,-472098
,
48433,-472113
,
48517,-472133
,
48601,-472167
,
48686,-472208
,
48770,-472178
,
48854,-472213
,
48938,-472250
,
49022,-472246
,
49107,-472308
,
49191,-472324
,
49275,-472306
,
49359,-472359
,
49443,-472400
,
49528,-472494
,
49612,-472577
,
49696,-472593
,
49780,-472584
,
49864,-472581
,
49949,-472618
,
50033,-472681
,
50117,-472736
,
50201,-472819
,
50285,-472887
,
50370,-472934
,
50454,-472971
,
50538,-473024
,
50622,-473103
,
50706,-473123
,
50791,-473148
,
50875,-473218
,
50959,-473285
,
51043,-473331
,
51127,-473393
,
51211,-473500
,
51296,-473558
,
51380,-473564
,
