time(millis),values,Grams,Newtons,multiplier,offset
14594,-426285,88.02365,,0.00111,561.2
14678,-426284,88.02476,,0.00111,561.2
14763,-426300,88.007,,0.00111,561.2
14847,-426292,88.01588,,0.00111,561.2
14931,-426294,88.01366,,0.00111,561.2
15015,-426292,88.01588,,0.00111,561.2
15099,-426248,88.06472,,0.00111,561.2
15183,-426233,88.08137,,0.00111,561.2
15268,-426294,88.01366,,0.00111,561.2
15352,-426352,87.94928,,0.00111,561.2
15436,-426322,87.98258,,0.00111,561.2
15520,-426299,88.00811,,0.00111,561.2
15604,-426286,88.02254,,0.00111,561.2
15689,-426298,88.00922,,0.00111,561.2
15773,-426304,88.00256,,0.00111,561.2
15857,-426260,88.0514,,0.00111,561.2
15941,-426259,88.05251,,0.00111,561.2
16025,-426276,88.03364,,0.00111,561.2
16110,-426235,88.07915,,0.00111,561.2
16194,-426232,88.08248,,0.00111,561.2
16278,-426270,88.0403,,0.00111,561.2
16362,-426290,88.0181,,0.00111,561.2
16446,-426293,88.01477,,0.00111,561.2
16531,-426298,88.00922,,0.00111,561.2
16615,-426307,87.99923,,0.00111,561.2
16699,-426295,88.01255,,0.00111,561.2
16783,-426293,88.01477,,0.00111,561.2
16867,-426296,88.01144,,0.00111,561.2
16951,-426316,87.98924,,0.00111,561.2
17036,-426293,88.01477,,0.00111,561.2
17120,-426307,87.99923,,0.00111,561.2
17204,-426317,87.98813,,0.00111,561.2
17288,-426292,88.01588,,0.00111,561.2
17372,-426298,88.00922,,0.00111,561.2
17457,-426316,87.98924,,0.00111,561.2
17541,-426316,87.98924,,0.00111,561.2
17625,-426311,87.99479,,0.00111,561.2
17709,-426314,87.99146,,0.00111,561.2
17793,-426323,87.98147,,0.00111,561.2
17878,-426321,87.98369,,0.00111,561.2
17962,-426300,88.007,,0.00111,561.2
18046,-426289,88.01921,,0.00111,561.2
18130,-426321,87.98369,,0.00111,561.2
18214,-426338,87.96482,,0.00111,561.2
18299,-426318,87.98702,,0.00111,561.2
18383,-426305,88.00145,,0.00111,561.2
18467,-426330,87.9737,,0.00111,561.2
18551,-426295,88.01255,,0.00111,561.2
18635,-426288,88.02032,,0.00111,561.2
18719,-426285,88.02365,,0.00111,561.2
18804,-426293,88.01477,,0.00111,561.2
18888,-426293,88.01477,,0.00111,561.2
18972,-426266,88.04474,,0.00111,561.2
19056,-426273,88.03697,,0.00111,561.2
19140,-426320,87.9848,,0.00111,561.2
19225,-426326,87.97814,,0.00111,561.2
19309,-426317,87.98813,,0.00111,561.2
19393,-426306,88.00034,,0.00111,561.2
19477,-426356,87.94484,,0.00111,561.2
19561,-426380,87.9182,,0.00111,561.2
19646,-426324,87.98036,,0.00111,561.2
19730,-426307,87.99923,,0.00111,561.2
19814,-426319,87.98591,,0.00111,561.2
19898,-426343,87.95927,,0.00111,561.2
19982,-426310,87.9959,,0.00111,561.2
20067,-426331,87.97259,,0.00111,561.2
20151,-426317,87.98813,,0.00111,561.2
20235,-426313,87.99257,,0.00111,561.2
20319,-426318,87.98702,,0.00111,561.2
20403,-426300,88.007,,0.00111,561.2
20488,-426298,88.00922,,0.00111,561.2
20572,-426325,87.97925,,0.00111,561.2
20656,-426393,87.90377,,0.00111,561.2
20740,-426376,87.92264,,0.00111,561.2
20824,-426374,87.92486,,0.00111,561.2
20908,-426377,87.92153,,0.00111,561.2
20993,-426385,87.91265,,0.00111,561.2
21077,-426366,87.93374,,0.00111,561.2
21161,-426357,87.94373,,0.00111,561.2
21245,-426364,87.93596,,0.00111,561.2
21329,-426343,87.95927,,0.00111,561.2
21414,-426394,87.90266,,0.00111,561.2
21498,-426366,87.93374,,0.00111,561.2
21582,-426351,87.95039,,0.00111,561.2
21666,-426359,87.94151,,0.00111,561.2
21750,-426378,87.92042,,0.00111,561.2
21835,-426375,87.92375,,0.00111,561.2
21919,-426359,87.94151,,0.00111,561.2
22003,-426335,87.96815,,0.00111,561.2
22087,-426317,87.98813,,0.00111,561.2
22171,-426331,87.97259,,0.00111,561.2
22256,-426344,87.95816,,0.00111,561.2
22340,-426338,87.96482,,0.00111,561.2
22424,-426376,87.92264,,0.00111,561.2
22508,-426363,87.93707,,0.00111,561.2
22592,-426335,87.96815,,0.00111,561.2
22677,-426346,87.95594,,0.00111,561.2
22761,-426339,87.96371,,0.00111,561.2
22845,-426362,87.93818,,0.00111,561.2
22929,-426373,87.92597,,0.00111,561.2
23013,-426343,87.95927,,0.00111,561.2
23098,-426335,87.96815,,0.00111,561.2
23182,-426340,87.9626,,0.00111,561.2
23266,-426320,87.9848,,0.00111,561.2
23350,-426346,87.95594,,0.00111,561.2
23434,-426335,87.96815,,0.00111,561.2
23519,-426332,87.97148,,0.00111,561.2
23603,-426373,87.92597,,0.00111,561.2
23687,-426329,87.97481,,0.00111,561.2
23771,-426335,87.96815,,0.00111,561.2
23855,-426349,87.95261,,0.00111,561.2
23940,-426363,87.93707,,0.00111,561.2
24024,-426371,87.92819,,0.00111,561.2
24108,-426403,87.89267,,0.00111,561.2
