time,data,Grams,Newtons,multiplier,offset
,,561.2,,0.00111,561.2
17827,-472003,37.27667,,0.00111,561.2
,,561.2,,0.00111,561.2
17911,-472047,37.22783,,0.00111,561.2
,,561.2,,0.00111,561.2
17996,-472067,37.20563,,0.00111,561.2
,,561.2,,0.00111,561.2
18080,-472113,37.15457,,0.00111,561.2
,,561.2,,0.00111,561.2
18164,-472088,37.18232,,0.00111,561.2
,,561.2,,0.00111,561.2
18248,-472025,37.25225,,0.00111,561.2
,,561.2,,0.00111,561.2
18332,-472029,37.24781,,0.00111,561.2
,,561.2,,0.00111,561.2
18416,-472064,37.20896,,0.00111,561.2
,,561.2,,0.00111,561.2
18501,-472104,37.16456,,0.00111,561.2
,,561.2,,0.00111,561.2
18585,-472154,37.10906,,0.00111,561.2
,,561.2,,0.00111,561.2
18669,-472179,37.08131,,0.00111,561.2
,,561.2,,0.00111,561.2
18753,-472193,37.06577,,0.00111,561.2
,,561.2,,0.00111,561.2
18837,-472202,37.05578,,0.00111,561.2
,,561.2,,0.00111,561.2
18921,-472189,37.07021,,0.00111,561.2
,,561.2,,0.00111,561.2
19005,-472121,37.14569,,0.00111,561.2
,,561.2,,0.00111,561.2
19090,-472131,37.13459,,0.00111,561.2
,,561.2,,0.00111,561.2
19174,-472212,37.04468,,0.00111,561.2
,,561.2,,0.00111,561.2
19258,-472208,37.04912,,0.00111,561.2
,,561.2,,0.00111,561.2
19342,-472132,37.13348,,0.00111,561.2
,,561.2,,0.00111,561.2
19426,-472081,37.19009,,0.00111,561.2
,,561.2,,0.00111,561.2
19510,-472027,37.25003,,0.00111,561.2
,,561.2,,0.00111,561.2
19595,-472035,37.24115,,0.00111,561.2
,,561.2,,0.00111,561.2
19679,-472110,37.1579,,0.00111,561.2
,,561.2,,0.00111,561.2
19763,-472167,37.09463,,0.00111,561.2
,,561.2,,0.00111,561.2
19847,-472260,36.9914,,0.00111,561.2
,,561.2,,0.00111,561.2
19931,-472307,36.93923,,0.00111,561.2
,,561.2,,0.00111,561.2
20015,-472275,36.97475,,0.00111,561.2
,,561.2,,0.00111,561.2
20100,-472270,36.9803,,0.00111,561.2
,,561.2,,0.00111,561.2
20184,-472277,36.97253,,0.00111,561.2
,,561.2,,0.00111,561.2
20268,-472271,36.97919,,0.00111,561.2
,,561.2,,0.00111,561.2
20352,-472288,36.96032,,0.00111,561.2
,,561.2,,0.00111,561.2
20436,-472337,36.90593,,0.00111,561.2
,,561.2,,0.00111,561.2
20520,-472366,36.87374,,0.00111,561.2
,,561.2,,0.00111,561.2
20605,-472430,36.8027,,0.00111,561.2
,,561.2,,0.00111,561.2
20689,-472433,36.79937,,0.00111,561.2
,,561.2,,0.00111,561.2
20773,-472489,36.73721,,0.00111,561.2
,,561.2,,0.00111,561.2
20857,-472492,36.73388,,0.00111,561.2
,,561.2,,0.00111,561.2
20941,-472475,36.75275,,0.00111,561.2
,,561.2,,0.00111,561.2
21025,-472433,36.79937,,0.00111,561.2
,,561.2,,0.00111,561.2
21110,-472372,36.86708,,0.00111,561.2
,,561.2,,0.00111,561.2
